num of trials = 5e+08/bufsize
nprocs         bufsize            b/w
     2 &        1e+08 &         1.51
     2 &        1e+03 &         0.67
     2 &        1e+04 &         1.62
     2 &        1e+05 &         1.91
     2 &        1e+06 &         1.71
     2 &        1e+07 &          1.7
     2 &        1e+08 &         1.23
    10 &        1e+03 &        0.649
    10 &        1e+04 &         1.28
    10 &        1e+05 &         1.53
    10 &        1e+06 &         1.46
    10 &        1e+07 &         1.45
    10 &        1e+08 &         1.35
    20 &        1e+03 &        0.695
    20 &        1e+04 &         1.12
    20 &        1e+05 &         1.02
    20 &        1e+06 &        0.969
    20 &        1e+07 &         1.16
    20 &        1e+08 &         1.55
    50 &        1e+03 &        0.604
    50 &        1e+04 &         1.35
    50 &        1e+05 &         1.84
    50 &        1e+06 &          1.7
    50 &        1e+07 &         1.71
    50 &        1e+08 &         1.72
   100 &        1e+03 &        0.547
   100 &        1e+04 &         1.26
   100 &        1e+05 &         1.49
   100 &        1e+06 &         1.42
   100 &        1e+07 &         1.53
   100 &        1e+08 &         1.59

__________________________________________________


     2 &        1e+03 &        0.668
     2 &        1e+04 &         1.45
     2 &        1e+05 &         1.61
     2 &        1e+06 &         1.49
     2 &        1e+07 &          1.5
     2 &        1e+08 &         1.52
    10 &        1e+03 &         0.66
    10 &        1e+04 &         1.25
    10 &        1e+05 &         1.49
    10 &        1e+06 &         1.46
    10 &        1e+07 &         1.47
    10 &        1e+08 &         1.17
    20 &        1e+03 &        0.623
    20 &        1e+04 &         1.23
    20 &        1e+05 &         1.52
    20 &        1e+06 &         1.44
    20 &        1e+07 &          1.4
    20 &        1e+08 &         1.07
    50 &        1e+03 &        0.604
    50 &        1e+04 &         1.28
    50 &        1e+05 &          1.6
    50 &        1e+06 &         1.49
    50 &        1e+07 &         1.51
    50 &        1e+08 &         1.51
   100 &        1e+03 &         0.51
   100 &        1e+04 &          1.2
   100 &        1e+05 &         1.56
   100 &        1e+06 &         1.46
   100 &        1e+07 &         1.45
   100 &        1e+08 &         1.48
