num of trials = 5e+08/bufsize
nprocs         bufsize            b/w
     2 &        1e+03 &        0.658
     2 &        1e+04 &          1.4
     2 &        1e+05 &         1.92
     2 &        1e+06 &         1.72
     2 &        1e+07 &         1.71
     2 &        1e+08 &         1.71
    10 &        1e+03 &        0.614
    10 &        1e+04 &         1.28
    10 &        1e+05 &         1.57
    10 &        1e+06 &         1.55
    10 &        1e+07 &         1.54
    10 &        1e+08 &          1.6

    [devel queue]
    20 &        1e+03 &        0.698
    20 &        1e+04 &         1.11
    20 &        1e+05 &         1.14
    20 &        1e+06 &         1.11
    20 &        1e+07 &         1.12
    20 &        1e+08 &         1.28

    [normal queue]
    20 &        1e+03 &        0.548
    20 &        1e+04 &         1.26
    20 &        1e+05 &         1.73
    20 &        1e+06 &         1.62
    20 &        1e+07 &         1.63
    20 &        1e+08 &         1.64

    [normal queue]
    50 &        1e+03 &         0.57
    50 &        1e+04 &         1.12
    50 &        1e+05 &         1.23
    50 &        1e+06 &         1.19
    50 &        1e+07 &          1.3
    50 &        1e+08 &         1.34
    
   100 &        1e+03 &        0.495
   100 &        1e+04 &         1.24
   100 &        1e+05 &         1.62
   100 &        1e+06 &         1.59
   100 &        1e+07 &         1.61
   100 &        1e+08 &         1.59

   [with mpi_leave_pinned]
     2 &        1e+03 &        0.705
     2 &        1e+04 &         1.43
     2 &        1e+05 &         1.88
     2 &        1e+06 &         1.69
     2 &        1e+07 &         1.67
     2 &        1e+08 &         1.72
