num of trials = 5e+09/bufsize
nprocs         bufsize            b/w
    22 &        1e+03 &        0.207
    22 &        1e+04 &        0.309
    22 &        1e+05 &        0.157
    50 &        1e+03 &       0.0653
     4 &        1e+03 &        0.829
     4 &        1e+04 &         1.47
     4 &        1e+05 &         1.58
    50 &        1e+04 &       0.0929
     4 &        1e+07 &        0.969
     4 &        1e+08 &        0.872
    50 &        1e+05 &       0.0579
    50 &        1e+06 &       0.0602
     2 &        1e+03 &        0.703
     2 &        1e+04 &         1.46
     2 &        1e+05 &         1.63
     2 &        1e+06 &          1.5
     2 &        1e+07 &         1.51
    16 &        1e+05 &         1.08
    16 &        1e+06 &         1.05
    16 &        1e+07 &         1.04
    16 &        1e+08 &         1.03
   100 &        1e+03 &        0.504
   100 &        1e+04 &         1.15
   100 &        1e+05 &         1.38
   100 &        1e+06 &         1.21
   100 &        1e+07 &         1.38
   100 &        1e+08 &          1.4
    20 &        1e+03 &        0.657
    20 &        1e+04 &         1.17
    20 &        1e+05 &         1.09
    20 &        1e+06 &         1.11
    20 &        1e+07 &         1.36
    20 &        1e+08 &        0.938
